,community_area,community_area_name,assault_homicide,firearm_related,below_poverty_level,crowded_housing,dependency,no_high_school_diploma,per_capita_income,unemployment,adult_fruit_and_vegetable_servings_rate,adult_soda_consumption_rate,low_food_access,poverty_rate,crime_rate,population
42,44,CHATHAM,45.2,37.9,25.3,2.2,40.0,13.7,20320,19.0,26.2,27.4,55.0562111666794,23.7852291177321,2028.907096579346,31122.174153
43,52,EAST SIDE,10.7,10.1,18.7,8.3,42.5,35.5,15347,14.5,27.9,49.4,23.527644813033,17.9197522098177,543.7389361760422,23448.75298
44,75,MORGAN PARK,19.9,15.8,13.7,0.8,39.4,10.9,26185,14.9,28.8,34.1,32.3508556614186,11.8900495631657,974.8635996917752,21594.815938
45,22,LOGAN SQUARE,8.6,10.2,17.2,3.2,26.7,18.5,29026,7.5,36.9,18.1,0.0104765477811148,11.3164168289958,702.6630899358915,72410.235757
46,1,ROGERS PARK,7.7,5.2,22.7,7.9,28.8,18.1,23714,7.5,37.3,16.5,5.67896156655646,24.9258198983455,726.2734728420107,52553.206784
47,50,PULLMAN,32.2,32.1,20.1,1.4,42.0,15.6,19007,21.0,36.6,18.0,77.8757988533393,19.7431866194561,1683.96527870705,6881.377037
48,73,WASHINGTON HEIGHTS,38.0,35.6,15.7,1.1,42.4,15.6,19709,18.3,15.5,38.1,64.8556030826281,21.0760000505118,1196.7708173995063,26635.007753
49,3,UPTOWN,5.4,4.6,22.7,4.6,22.2,13.6,32355,7.7,30.0,18.8,0.0159164152685014,17.6657769265917,681.8065276662109,53663.317254
50,55,HEGEWISCH,6.9,13.4,12.1,4.4,41.6,17.9,22561,9.6,27.1,38.8,30.8941740962106,16.790797359054,672.8830831461282,9003.049938
51,70,ASHBURN,12.4,11.6,9.5,4.2,36.7,18.3,22078,8.8,21.3,30.4,68.2132581272332,13.1117095573926,577.6574980157171,43537.909724
52,56,GARFIELD RIDGE,9.9,9.2,9.0,2.6,39.5,19.4,24684,8.1,27.3,39.8,47.7369888879815,8.4699102500327,535.2730641945016,37113.7674
53,51,SOUTH DEERING,41.3,35.1,24.5,6.0,41.4,21.9,15506,11.8,20.0,36.4,70.7701693258621,38.2696391576618,1238.1162616165711,15488.044697
54,48,CALUMET HEIGHTS,19.5,24.5,12.0,1.8,42.3,11.2,28977,17.2,24.9,50.1,40.1176905110561,15.6659033164236,1136.2055543130996,12798.740461
55,42,WOODLAWN,31.1,25.0,28.3,1.8,37.6,17.9,18928,17.3,23.3,34.2,36.9212547535005,35.5076121813165,1653.6493696198277,22922.634445
56,38,GRAND BOULEVARD,32.1,25.8,28.3,2.7,41.7,19.4,22056,20.6,32.0,26.7,10.537804854067,29.0246827516973,1477.7771761564434,22636.700945
57,53,WEST PULLMAN,43.9,46.5,24.3,3.3,42.2,22.6,16228,17.0,17.1,41.8,63.6690448179955,22.4085819475968,1527.396043918248,26700.344133
58,71,AUBURN GRESHAM,37.6,32.6,24.5,4.1,42.1,19.5,16022,24.2,19.4,35.0,25.2419026015466,25.1686331311471,1673.4505025432304,45992.397076
