community_area,year,Low food access,Neighborhood safety rate,Per capita income,crime_num,population,crime_rate
27,2015-2017,,67.1,,,,
27,2015-2019,,,16757.4648161101,5212.6,18950.718601,2750.6080955288626
27,2016-2018,,60.6,,,,
27,2019,52.3356796509787,,,,,
28,2014-2018,,,45577.9565418505,8779.2,62849.548123,1396.8596851036425
28,2015,15.9009100053601,,,,,
28,2015-2017,,81.6,,,,
28,2015-2019,,,47491.898560534,8779.2,63280.09464,1387.3557000735864
28,2016-2018,,82.6,,,,
28,2019,16.3899040761542,,,,,
29,2014-2018,,,15480.7173362502,8908.4,33869.156585,2630.2396924597056
29,2015,22.4929082676921,,,,,
29,2015-2017,,47.9,,,,
29,2015-2019,,,16469.437621553,8908.4,32086.480035,2776.371852033223
29,2016-2018,,45.9,,,,
29,2019,22.3385451747269,,,,,
30,2014-2018,,,12464.2542944709,4618.4,74861.506106,616.9258728859376
30,2015,4.63303823962818,,,,,
30,2015-2017,,53.8,,,,
30,2015-2019,,,13713.7297711375,4618.4,72091.383081,640.6313490768911
30,2016-2018,,51.9,,,,
30,2019,4.79340288387538,,,,,
31,2014-2018,,,26180.80072105,2583.6,32628.265723,791.8287848743348
31,2015,0.0336162165226948,,,,,
31,2015-2017,,69.0,,,,
31,2015-2019,,,28702.901735673,2583.6,33050.021824,781.7241434085413
31,2016-2018,,69.8,,,,
31,2019,12.095452726842,,,,,
32,2014-2018,,,83937.8547888872,9093.0,34990.447976,2598.709226654343
32,2015,0.0033185925740122,,,,,
32,2015-2017,,85.7,,,,
32,2015-2019,,,86882.1490159734,9093.0,35958.497534,2528.7485917347503
32,2016-2018,,87.9,,,,
32,2019,0.0034593592024355,,,,,
33,2014-2018,,,85143.1662760311,1891.4,19484.53868,970.7183891099443
33,2015,5.54856320676979,,,,,
33,2015-2017,,89.8,,,,
33,2015-2019,,,87308.7438064876,1891.4,19810.006139,954.7700221437069
33,2016-2018,,87.2,,,,
33,2019,3.93455820464246,,,,,
34,2014-2018,,,19689.5171102059,1072.6,13768.807975,779.0071602040771
34,2015,35.8232105462389,,,,,
34,2015-2017,,63.2,,,,
34,2015-2019,,,21748.9110101515,1072.6,13585.42411,789.5226467096285
34,2016-2018,,76.5,,,,
34,2019,18.8411405047685,,,,,
35,2014-2018,,,29563.0633887222,2619.2,18569.041984,1410.5197253885426
35,2015,20.2250950294075,,,,,
35,2015-2017,,89.4,,,,
35,2015-2019,,,30324.0576140026,2619.2,18763.463356,1395.904343620261
35,2016-2018,,78.4,,,,
35,2019,36.5810693577971,,,,,
36,2014-2018,,,24788.4552658083,671.2,4232.054738,1585.9908284579471
36,2015,7.80198745559269,,,,,
36,2015-2017,,59.4,,,,
36,2015-2019,,,25027.0720266517,671.2,4425.440249,1516.685261204619
36,2016-2018,,64.5,,,,
36,2019,7.80366305227681,,,,,
37,2014-2018,,,17490.7325610703,884.6,2382.072325,3713.5732224251415
37,2015,91.0967630729753,,,,,
37,2015-2017,,83.7,,,,
37,2015-2019,,,17146.4160807445,884.6,2396.551147,3691.1375795477647
37,2016-2018,,83.7,,,,
37,2019,97.1012332518511,,,,,
38,2014-2018,,,27924.6611061733,3345.2,23193.439827,1442.3043864781878
38,2015,6.55100709561846,,,,,
38,2015-2017,,72.2,,,,
38,2015-2019,,,29506.7464136188,3345.2,22636.700945,1477.7771761564434
38,2016-2018,,70.2,,,,
38,2019,10.537804854067,,,,,
39,2014-2018,,,53124.7651604925,1463.0,13558.77,1079.0064290492426
39,2015,0.0017371989907601,,,,,
39,2015-2017,,84.2,,,,
39,2015-2019,,,51390.6754763346,1463.0,14201.388739,1030.1809399684232
39,2016-2018,,85.8,,,,
39,2019,5.7702614420898,,,,,
40,2014-2018,,,18338.5311868103,2798.8,11354.93483,2464.8314075792896
40,2015,0.203133919504552,,,,,
40,2015-2017,,43.1,,,,
40,2015-2019,,,18639.2540687641,2798.8,10969.043052,2551.5443660235164
40,2016-2018,,38.8,,,,
40,2019,65.4569603204927,,,,,
41,2014-2018,,,51627.9998828984,1681.8,22609.521911,743.8458922838919
41,2015,6.60717504565882,,,,,
41,2015-2017,,91.3,,,,
41,2015-2019,,,51290.7741024082,1681.8,22487.887103,747.8692828263262
41,2016-2018,,90.8,,,,
41,2019,12.3591156858882,,,,,
42,2014-2018,,,23062.861356703,3790.6,23140.929481,1638.0500200358395
42,2015,19.066269479618,,,,,
42,2015-2017,,65.8,,,,
42,2015-2019,,,23169.626082949,3790.6,22922.634445,1653.6493696198277
42,2016-2018,,63.5,,,,
42,2019,36.9212547535005,,,,,
43,2014-2018,,,24860.0963037277,8810.8,43021.509584,2047.9987999483862
43,2015,53.8980558701033,,,,,
43,2015-2017,,57.9,,,,
43,2015-2019,,,26513.8282534191,8810.8,43755.223524,2013.6567226464338
43,2016-2018,,54.8,,,,
43,2019,57.5959879762995,,,,,
44,2014-2018,,,24382.0174754862,6314.4,30810.328364,2049.4426172289654
44,2015,28.4144841034914,,,,,
44,2015-2017,,65.8,,,,
44,2015-2019,,,25881.9176381955,6314.4,31122.174153,2028.907096579346
44,2016-2018,,66.3,,,,
44,2019,55.0562111666794,,,,,
45,2014-2018,,,26412.7460343283,1333.6,9660.057472,1380.530088837964
45,2015,15.9487722426343,,,,,
45,2015-2017,,58.0,,,,
45,2015-2019,,,26974.3936374808,1333.6,9589.463276,1390.6930571783546
45,2016-2018,,56.0,,,,
45,2019,19.1656069037685,,,,,
46,2014-2018,,,19524.9873648474,4815.8,27463.282872,1753.541272704115
46,2015,28.5793279987704,,,,,
46,2015-2017,,62.4,,,,
46,2015-2019,,,19932.4071593015,4815.8,28332.448885,1699.74717665497
46,2016-2018,,52.7,,,,
46,2019,25.3540326101423,,,,,
47,2014-2018,,,20241.7360235795,390.8,2323.971864,1681.603835458483
47,2015,93.7255546542074,,,,,
47,2015-2019,,,21203.6390103328,390.8,1996.719897,1957.2099250734318
47,2016-2018,,48.8,,,,
47,2019,94.2531011377957,,,,,
48,2014-2018,,,29621.1983653067,1454.2,12940.395515,1123.7678155311005
48,2015,40.1160893979243,,,,,
48,2015-2017,,92.9,,,,
48,2015-2019,,,30876.2494491146,1454.2,12798.740461,1136.2055543130996
48,2016-2018,,86.4,,,,
48,2019,40.1176905110561,,,,,
49,2014-2018,,,23062.5066294333,6977.0,41199.293264,1693.4756514613593
49,2015,67.834547720587,,,,,
49,2015-2017,,65.8,,,,
49,2015-2019,,,23257.0593769598,6977.0,39252.989495,1777.4442379449142
49,2016-2018,,64.8,,,,
49,2019,66.6029013129088,,,,,
50,2014-2018,,,26027.4567549402,1158.8,6859.982594,1689.2171140689632
50,2015,77.8735493777651,,,,,
50,2015-2017,,89.4,,,,
50,2015-2019,,,26566.8170458931,1158.8,6881.377037,1683.96527870705
50,2016-2018,,79.2,,,,
50,2019,77.8757988533393,,,,,
51,2014-2018,,,18683.003358657,1917.6,14720.420872,1302.680145271868
51,2015,70.7204882783799,,,,,
