id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
12612540,JF137686,2022-02-08T12:05:00.000,100XX S LOWE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2232,022,9,73,08B,1173744,1838217,2022,2022-02-15T15:49:52.000,41.71147591,-87.639312534,"{'latitude': '41.71147591', 'longitude': '-87.639312534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,21861,72,593,22,19,9,253
12613711,JF139281,2022-02-08T12:00:00.000,035XX W CORTLAND ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1422,014,1,22,06,1152801,1912406,2022,2022-02-15T15:49:52.000,41.915498356,-87.714053603,"{'latitude': '41.915498356', 'longitude': '-87.714053603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,22535,23,351,41,1,7,190
12613256,JF137724,2022-02-08T12:00:00.000,062XX S CAMPBELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,0825,008,16,66,14,1160774,1863263,2022,2022-02-15T15:49:52.000,41.780483067,-87.686122155,"{'latitude': '41.780483067', 'longitude': '-87.686122155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,21867,64,111,2,58,13,274
12613232,JF137774,2022-02-08T12:00:00.000,079XX S MORGAN ST,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,0612,006,17,71,08A,1171025,1852140,2022,2022-02-15T15:49:52.000,41.749742298,-87.648864693,"{'latitude': '41.749742298', 'longitude': '-87.648864693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21554,70,487,31,59,20,230
12612600,JF137888,2022-02-08T12:00:00.000,011XX N LA SALLE DR,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,1824,018,27,8,11,1174931,1907935,2022,2022-02-15T15:49:52.000,41.902762454,-87.632884581,"{'latitude': '41.902762454', 'longitude': '-87.632884581', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",51,14926,37,310,46,54,14,197
12616426,JF142427,2022-02-08T12:00:00.000,030XX S TRUMBULL AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,1032,010,22,30,26,1153851,1884154,2022,2022-02-15T15:49:52.000,41.837951031,-87.710948647,"{'latitude': '41.837951031', 'longitude': '-87.710948647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,21569,32,312,28,57,21,166
12612491,JF137751,2022-02-08T12:00:00.000,069XX S SANGAMON ST,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,False,0733,007,6,68,06,1171173,1858786,2022,2022-02-15T15:49:52.000,41.767976536,-87.648128379,"{'latitude': '41.767976536', 'longitude': '-87.648128379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21559,66,410,32,11,17,215
12614389,JF137785,2022-02-08T12:00:00.000,089XX S BLACKSTONE AVE,0810,THEFT,OVER $500,APARTMENT,False,True,0413,004,8,48,06,1187677,1846016,2022,2022-02-15T15:49:52.000,41.732557718,-87.588039739,"{'latitude': '41.732557718', 'longitude': '-87.588039739', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,44,491,35,61,19,246
12612565,JF137787,2022-02-08T12:00:00.000,068XX S UNION AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,0723,007,6,68,06,1172916,1859607,2022,2022-02-15T15:49:52.000,41.770191176,-87.6417153,"{'latitude': '41.770191176', 'longitude': '-87.6417153', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21559,66,479,32,11,17,202
12614308,JF139898,2022-02-08T12:00:00.000,055XX W VAN BUREN ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1522,015,29,25,06,1139561,1897464,2022,2022-02-15T15:49:52.000,41.87474772,-87.763061646,"{'latitude': '41.87474772', 'longitude': '-87.763061646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22216,26,68,7,32,25,97
