,community_area_name,community_area,assault_homicide,firearm_related,below_poverty_level,crowded_housing,dependency,no_high_school_diploma,per_capita_income,unemployment,adult_fruit_and_vegetable_servings_rate,adult_soda_consumption_rate,low_food_access,poverty_rate,crime_rate,population
30,LOWER WEST SIDE,31,-0.3591040093677993,-0.3289634373069604,0.8076289121149262,1.457543720035372,-0.05135459754896503,1.8606626887377848,-0.6878952212308805,0.038370873210137664,1.3729153448051081,-0.2463757187280176,-0.631588278993606,-0.3576148522348601,-0.42918097504220787,-0.16683219452292997
31,NEAR WEST SIDE,28,-0.29411621036121727,-0.5083398003954684,0.23409533684490663,-0.28291944526920765,-1.7389999597496972,-0.7869792997197779,1.0157368600544532,-0.3315519164205298,0.10281744872989775,-0.7973477874859064,-0.4469179675260764,0.6135644396018821,0.3660019322699007,1.2236006165309303
32,HERMOSA,20,-0.29411621036121727,-0.3214894221782725,-0.021946437829209315,0.9301306396400449,0.09957303646898581,1.6686886472786264,-0.6915616213135821,0.02228727366097827,-0.15376798482064974,0.41828899913864226,-1.1516507302206673,-0.2561297989744328,-0.5615842661623476,-0.6045141758946705
33,SOUTH LAWNDALE,30,-0.3980966887717485,-0.5606579062962834,0.8998039509976081,3.35623080945855,-0.3394891715832365,3.0125069374927373,-1.000193942561,-0.20288312002725406,-1.641963499413825,0.15592134734917132,-0.945591561174936,0.8589206372437765,-0.6144331752664477,1.628876006722568
34,GAGE PARK,63,-0.417593028473723,-0.3738075280790874,0.15216196894918946,3.303489501419017,0.6621214905358965,2.6445566913626832,-0.913968069187464,0.19920686870173213,-0.5899632218565802,-0.3338316026578413,-0.25422982115715254,-0.08828640495404452,-0.6255281659972283,0.024254383884734783
35,MOUNT GREENWOOD,74,-0.9764880999303281,-0.6503460878405374,-1.6606137957435514,-0.9949271038028993,0.19561789448040995,-1.3229068321265958,0.5399559778938705,-0.9427286992885886,0.46203705570066433,0.00724634466847117,1.548153065377604,-1.400703911357497,-1.036168667008231,-0.8040075934760977
36,WEST ELSDON,62,-0.7360332436059748,-0.627924042454474,-0.9744218396169207,1.0092426016993437,0.42886969250815377,1.4847135242135996,-0.5915867476299149,0.1187888709559349,-0.7310852103093816,0.06846546341934767,-0.1414476449234998,-0.9754231682732438,-0.7374328394520294,-0.8134064821772823
37,BRIGHTON PARK,58,-0.3980966887717485,-0.4111776037225266,0.37747873066241144,2.19592203258883,0.5797973265261046,2.172620506108918,-0.8403781818132388,-0.2511339186747325,-0.4616705050813065,0.724384592893025,-0.3953678736532805,0.44753324538861045,-0.7008943417989972,0.3527899136600483
38,CLEARING,64,-0.5085759470829377,-0.25422328602008204,-1.3738470081085417,-0.3884020613482731,0.11329373047061797,-0.20305825694817028,-0.13446522303308162,-0.5084715114612837,-1.7574269445115716,0.9255331259316192,0.9617377940442449,-1.001156574197988,-0.9534321001562042,-0.5362546495890067
39,ALBANY PARK,14,-0.8140186024138732,-0.807300405542982,-0.22677985756850208,1.6685089521935026,-0.47669611159955616,1.1087643596894137,-0.3678708711550683,-0.6049731087562402,0.28242725221528125,-0.2901036606929294,-0.9841047134008862,-0.4610425525447963,-0.8093559118291342,0.6101039037830479
40,CHICAGO LAWN,66,0.3362654400026279,0.2465357276020031,0.29554536276669424,0.42908821326448404,0.607238714529369,0.8448000526830708,-0.7574258799421147,-0.1385487218306162,-0.15376798482064974,0.9167875375386374,0.012820965461906548,0.49829742979252045,0.08679006411098866,0.6671666040954413
41,CHATHAM,44,1.8179872573526976,1.6292285264092532,0.6130371633625982,-0.7048499095854693,0.607238714529369,-0.5870063398664876,-0.37016237120675677,1.0033868461597046,-0.08962162643301286,-0.0714639508683703,1.2158134020701974,0.453544349949512,1.208346917516006,-0.25550358717182325
